filename,good_count,bad_count,f1_score,total_count
vote_4_0_REAL_F1_0.624687656171914.csv,1274,6284,0.624687656171914,7558
vote_4_1_REAL_F1_0.02909713307659392.csv,6284,1274,0.02909713307659392,7558
vote_5_0_REAL_F1_0.6331967213114754.csv,1225,6333,0.6331967213114754,7558
vote_5_1_REAL_F1_0.03087818696883853.csv,6333,1225,0.03087818696883853,7558
vote_6_0_REAL_F1_0.6439433665443104.csv,1180,6378,0.6439433665443104,7558
vote_6_1_REAL_F1_0.03180858550316678.csv,6378,1180,0.03180858550316678,7558
vote_7_0_REAL_F1_0.652127659574468.csv,1153,6405,0.652127659574468,7558
vote_7_1_REAL_F1_0.03196859226023556.csv,6405,1153,0.03196859226023556,7558
vote_8_0_REAL_F1_0.6554712892741061.csv,1119,6439,0.6554712892741061,7558
vote_8_1_REAL_F1_0.03404967903991069.csv,6439,1119,0.03404967903991069,7558
vote_9_0_REAL_F1_0.6629955947136564.csv,1089,6469,0.6629955947136564,7558
vote_9_1_REAL_F1_0.03474152306837132.csv,6469,1089,0.03474152306837132,7558
