account,traditional_category
a15670,both_directions
a05764,forward_only
a18569,isolated
a29710,forward_only
a08400,isolated
a13011,isolated
a00060,backward_only
a18702,forward_only
a08836,backward_only
a20759,isolated
a07644,isolated
a25626,isolated
a22344,isolated
a03094,isolated
a28881,backward_only
a27768,backward_only
a26169,backward_only
a20175,isolated
a29528,both_directions
a29069,isolated
a22030,isolated
a21032,isolated
a13092,both_directions
a04558,isolated
a21644,backward_only
a05894,forward_only
a15953,both_directions
a09661,isolated
a02140,backward_only
a29674,isolated
a31214,isolated
a21656,isolated
a09488,isolated
a23664,backward_only
a22411,isolated
a00684,both_directions
a24463,isolated
a00027,isolated
a14525,forward_only
a25845,both_directions
a25858,backward_only
a16694,isolated
a23829,forward_only
a01505,forward_only
a29589,isolated
a25586,isolated
a22155,both_directions
a06701,isolated
a05497,isolated
a06596,isolated
a16341,both_directions
a12617,forward_only
a00310,isolated
a14141,isolated
a26130,isolated
a26126,both_directions
a11972,forward_only
a23236,backward_only
a02115,both_directions
a28770,isolated
a26726,isolated
a20861,backward_only
a13150,backward_only
a13315,isolated
a01694,both_directions
a18020,forward_only
a22043,isolated
a30199,isolated
a10630,isolated
a14411,forward_only
a28186,forward_only
a20093,isolated
a13706,both_directions
a07087,both_directions
a31343,both_directions
a12088,forward_only
a21620,isolated
a25665,backward_only
a03731,isolated
a10287,both_directions
a17160,backward_only
a09147,isolated
a04058,isolated
a23644,both_directions
a01272,isolated
a27224,both_directions
a25572,both_directions
a31196,isolated
a15301,isolated
a13229,backward_only
a19276,isolated
a13897,isolated
a08824,both_directions
a26456,forward_only
a02764,forward_only
a00710,isolated
a22448,forward_only
a12175,both_directions
a30341,both_directions
a01993,backward_only
a12252,isolated
a14535,isolated
a25232,backward_only
a13994,isolated
a10148,both_directions
a14710,backward_only
a21752,both_directions
a08683,both_directions
a31159,forward_only
a10338,forward_only
a13676,forward_only
a17696,backward_only
a18302,isolated
a25442,both_directions
a15346,isolated
a27655,isolated
a28077,both_directions
a26856,backward_only
a19166,isolated
a10635,forward_only
a24983,isolated
a17013,backward_only
a14158,backward_only
a28003,both_directions
a16624,isolated
a24945,isolated
a22850,backward_only
a10185,backward_only
a17835,backward_only
a01177,forward_only
a16236,forward_only
a00840,both_directions
a11073,forward_only
a13426,forward_only
a25515,isolated
a14616,forward_only
a26300,isolated
a14951,backward_only
a12747,both_directions
a27535,isolated
a04313,forward_only
a29357,backward_only
a13858,backward_only
a16519,both_directions
a24591,isolated
a15530,backward_only
a05928,isolated
a17148,isolated
a24929,isolated
a15424,isolated
a17889,isolated
a21044,backward_only
a01148,isolated
a00518,forward_only
a12455,backward_only
a30398,isolated
a10755,backward_only
a06404,both_directions
a05809,isolated
a04780,isolated
a11662,backward_only
a17498,backward_only
a10563,isolated
a16014,forward_only
a05146,forward_only
a14812,backward_only
a10049,both_directions
a15612,forward_only
a05240,isolated
a22982,backward_only
a04418,isolated
a17890,isolated
a29697,isolated
a09981,isolated
a09111,both_directions
a11055,isolated
a23465,isolated
a07591,backward_only
a02902,isolated
a01599,backward_only
a11393,isolated
a14580,backward_only
a29434,isolated
a17621,isolated
a12117,isolated
a23760,forward_only
a19751,both_directions
a14382,both_directions
a28218,backward_only
a04873,backward_only
a15150,isolated
a16108,isolated
a10189,both_directions
a17705,backward_only
a16321,both_directions
a16046,isolated
a27889,isolated
a26131,isolated
a13651,backward_only
a17077,forward_only
a09911,forward_only
a27557,isolated
a19738,isolated
a02404,forward_only
a22209,isolated
a02856,isolated
a25890,isolated
a10863,isolated
a05846,isolated
a05157,isolated
a02426,backward_only
a09732,isolated
a30832,isolated
a12475,isolated
a02433,both_directions
a03805,backward_only
a02685,backward_only
a19868,isolated
a05657,isolated
a01181,backward_only
a19616,isolated
a03442,both_directions
a24790,backward_only
a27144,forward_only
a21847,isolated
a29431,backward_only
a02448,isolated
a06591,backward_only
a26494,isolated
a26568,backward_only
a14030,both_directions
a09057,both_directions
a10276,isolated
a09788,isolated
a14205,isolated
a26958,backward_only
a19894,isolated
a11838,both_directions
a10437,both_directions
a10576,both_directions
a18285,isolated
a25702,backward_only
a14979,backward_only
a04216,both_directions
a25033,backward_only
a12006,isolated
a07530,backward_only
a23755,isolated
a15051,isolated
a15357,isolated
a27854,isolated
a04860,isolated
a14570,isolated
a15044,isolated
a27246,both_directions
a00759,isolated
a18754,both_directions
a30509,isolated
a01662,forward_only
a20167,forward_only
a08958,forward_only
a26447,isolated
a01087,isolated
a09091,both_directions
a03406,backward_only
a21879,isolated
a21433,isolated
a18449,backward_only
a09761,isolated
a07915,backward_only
a22772,isolated
a01902,forward_only
a05810,isolated
a30121,forward_only
a05383,both_directions
a29751,isolated
a09960,forward_only
a29472,isolated
a00640,backward_only
a31448,isolated
a28482,both_directions
a30496,forward_only
a00619,forward_only
a26745,isolated
a11450,backward_only
a27898,isolated
a00421,isolated
a30513,forward_only
a13496,backward_only
a14206,backward_only
a01977,isolated
a16407,isolated
a22359,isolated
a13741,isolated
a21787,backward_only
a16379,forward_only
a11408,backward_only
a23888,backward_only
a06002,isolated
a13985,isolated
a30635,isolated
a09963,backward_only
a19239,isolated
a08246,backward_only
a11726,both_directions
a21675,backward_only
a27025,isolated
a21659,both_directions
a27483,isolated
a25031,isolated
a20138,backward_only
a24324,backward_only
a29729,isolated
a27870,forward_only
a22218,isolated
a03462,backward_only
a16155,backward_only
a12711,backward_only
a31349,both_directions
a17006,both_directions
a13653,backward_only
a05016,both_directions
a15099,isolated
a02821,isolated
a07104,isolated
a09955,backward_only
a21245,forward_only
a17134,both_directions
a11919,isolated
a19524,both_directions
a28545,isolated
a13551,isolated
a14721,isolated
a29170,isolated
a24024,isolated
a16445,backward_only
a06413,isolated
a17885,isolated
a22391,backward_only
a03967,isolated
a20202,isolated
a21867,both_directions
a09430,backward_only
a12580,isolated
a17174,backward_only
a05334,backward_only
a25994,backward_only
a03935,forward_only
a02009,backward_only
a01234,isolated
a07311,backward_only
a28200,backward_only
a23785,isolated
a18276,isolated
a12948,isolated
a03149,forward_only
a28078,both_directions
a15332,isolated
a11067,backward_only
a15873,isolated
a12125,isolated
a05978,isolated
a06394,isolated
a27593,isolated
a09176,isolated
a28670,isolated
a08845,isolated
a00136,isolated
a08522,isolated
a02399,isolated
a10558,isolated
a19382,isolated
a21230,isolated
a23212,isolated
a15759,isolated
a29830,isolated
a29812,backward_only
a14637,forward_only
a10764,forward_only
a16560,both_directions
a21615,forward_only
a21154,backward_only
a06572,forward_only
a16632,backward_only
a05493,isolated
a12089,backward_only
a00463,isolated
a02573,isolated
a09689,isolated
a09141,isolated
a21337,isolated
a17009,both_directions
a22198,both_directions
a21264,both_directions
a21015,isolated
a02099,backward_only
a27511,backward_only
a20737,isolated
a10699,backward_only
a23056,isolated
a10059,isolated
a26681,both_directions
a15070,forward_only
a16231,forward_only
a26913,backward_only
a20290,isolated
a18646,backward_only
a04277,isolated
a22051,isolated
a22267,isolated
a14837,backward_only
a25663,both_directions
a10572,isolated
a07759,backward_only
a13104,backward_only
a20303,isolated
a06388,isolated
a08484,isolated
a06510,backward_only
a29114,isolated
a09393,isolated
a03292,both_directions
a09775,isolated
a17323,isolated
a20937,isolated
a10982,isolated
a23300,isolated
a16315,isolated
a01365,isolated
a24344,backward_only
a26496,isolated
a26125,backward_only
a26922,isolated
a22457,isolated
a13800,backward_only
a22830,isolated
a09216,isolated
a00036,isolated
a22177,both_directions
a18608,both_directions
a05152,forward_only
a16868,backward_only
a00745,isolated
a04613,both_directions
a05282,isolated
a10703,isolated
a19444,forward_only
a11042,isolated
a17551,isolated
a02775,isolated
a21667,backward_only
a21643,isolated
a28402,both_directions
a05873,backward_only
a01073,isolated
a04945,backward_only
a16338,backward_only
a14742,isolated
a02416,backward_only
a01787,both_directions
a14543,both_directions
a18473,backward_only
a10561,both_directions
a18504,isolated
a16689,isolated
a24260,forward_only
a07966,isolated
a17250,isolated
a04752,isolated
a06752,isolated
a02813,isolated
a22202,isolated
a03692,isolated
a19693,isolated
a25315,forward_only
a23811,isolated
a04197,isolated
a03720,backward_only
a08212,isolated
a21457,both_directions
a23986,backward_only
a06502,both_directions
a29921,both_directions
a16208,forward_only
a05491,backward_only
a20137,both_directions
a00041,backward_only
a25876,forward_only
a03436,isolated
a04291,forward_only
a30840,both_directions
a10756,both_directions
a05749,forward_only
a24492,isolated
a30710,forward_only
a12616,forward_only
a29096,backward_only
a23328,isolated
a02830,isolated
a08656,forward_only
a22616,isolated
a31334,isolated
a23868,forward_only
a20001,isolated
a18428,both_directions
a16277,isolated
a16412,backward_only
a08815,isolated
a15497,backward_only
a11347,isolated
a25039,both_directions
a30901,backward_only
a31438,isolated
a27465,both_directions
a08078,isolated
a01613,isolated
a02461,isolated
a06909,isolated
a28301,backward_only
a04627,forward_only
a19835,forward_only
a28265,backward_only
a26886,forward_only
a19334,forward_only
a31143,backward_only
a00962,forward_only
a09486,isolated
a09754,backward_only
a11057,forward_only
a14075,forward_only
a07272,isolated
a18501,backward_only
a24719,both_directions
a24205,isolated
a01571,isolated
a29172,isolated
a28196,both_directions
a28460,isolated
a17262,isolated
a05358,isolated
a18195,forward_only
a23532,isolated
a30230,isolated
a21231,isolated
a06875,isolated
a17693,isolated
a19637,both_directions
a13412,isolated
a21546,isolated
a19034,isolated
a29868,isolated
a24070,isolated
a19069,isolated
a08999,isolated
a23817,isolated
a17821,isolated
a21754,backward_only
a09668,both_directions
a05110,isolated
a14605,both_directions
a18105,backward_only
a19075,isolated
a28085,both_directions
a28011,both_directions
a27118,both_directions
a03064,both_directions
a15696,isolated
a08900,isolated
a23843,backward_only
a01882,backward_only
a05467,isolated
a28062,isolated
a17667,forward_only
a01986,backward_only
a27562,backward_only
a10880,forward_only
a20659,forward_only
a27522,forward_only
a16777,both_directions
a20704,isolated
a30007,backward_only
a25523,backward_only
a04176,forward_only
a23831,isolated
a24650,both_directions
a04374,both_directions
a20256,isolated
a15797,both_directions
a03388,isolated
a01842,isolated
a06854,forward_only
a13429,isolated
a00517,isolated
a10442,isolated
a07229,forward_only
a04807,isolated
a03361,isolated
a13254,both_directions
a12965,isolated
a27956,isolated
a20903,both_directions
a08058,forward_only
a19864,isolated
a01932,both_directions
a28509,isolated
a08857,isolated
a26731,isolated
a09190,isolated
a20062,backward_only
a13448,isolated
a10271,forward_only
a09651,isolated
a29454,both_directions
a13266,both_directions
a13942,backward_only
a07211,isolated
a22013,isolated
a14017,isolated
a00904,both_directions
a28519,backward_only
a12559,backward_only
a22689,isolated
a05333,backward_only
a15066,forward_only
a15227,backward_only
a28478,isolated
a10238,backward_only
a09319,isolated
a06215,isolated
a01809,backward_only
a03598,both_directions
a13464,backward_only
a10171,isolated
a04980,both_directions
a06427,backward_only
a13126,backward_only
a01518,forward_only
a19821,forward_only
a27685,isolated
a20209,both_directions
a25108,isolated
a28907,both_directions
a15409,forward_only
a07142,backward_only
a29581,forward_only
a26189,isolated
a05522,isolated
a21596,forward_only
a23003,backward_only
a04981,backward_only
a14235,both_directions
a23548,backward_only
a21807,isolated
a01166,backward_only
a23389,isolated
a28982,forward_only
a19465,isolated
a13694,backward_only
a23813,backward_only
a05915,isolated
a01254,forward_only
a18498,backward_only
a05931,backward_only
a07387,both_directions
a06810,backward_only
a07222,isolated
a21515,backward_only
a27818,isolated
a25480,isolated
a25018,backward_only
a06441,forward_only
a16439,backward_only
a08601,isolated
a10384,backward_only
a20404,isolated
a07882,forward_only
a25429,backward_only
a11357,isolated
a20613,backward_only
a26149,backward_only
a03304,backward_only
a26455,isolated
a15250,forward_only
a13863,isolated
a08712,isolated
a22414,forward_only
a02176,isolated
a02359,backward_only
a14897,isolated
a04265,isolated
a17029,isolated
a05762,both_directions
a31330,isolated
a13644,isolated
a09862,both_directions
a28329,forward_only
a01618,forward_only
a26820,isolated
a08795,isolated
a17417,isolated
a21406,isolated
a30187,isolated
a18363,backward_only
a15249,forward_only
a23679,backward_only
a12137,isolated
a02223,backward_only
a25848,backward_only
a27692,both_directions
a05017,isolated
a04441,backward_only
a27429,backward_only
a24046,forward_only
a22045,forward_only
a04767,backward_only
a16246,isolated
a21578,isolated
a15554,isolated
a04246,isolated
a10599,isolated
a18937,isolated
a29965,backward_only
a02760,both_directions
a26882,isolated
a29836,isolated
a12048,isolated
a00568,isolated
a22331,isolated
a31023,isolated
a01554,isolated
a02742,isolated
a13070,both_directions
a15861,isolated
a05484,isolated
a12347,backward_only
a27586,both_directions
a08914,backward_only
a26542,isolated
a12929,backward_only
a21646,both_directions
a22978,isolated
a20755,backward_only
a19168,forward_only
a17956,backward_only
a10418,backward_only
a31301,forward_only
a09593,isolated
a17502,isolated
a08368,backward_only
a30507,backward_only
a28546,isolated
a04819,backward_only
a12679,backward_only
a13523,forward_only
a12133,isolated
a30245,both_directions
a31325,backward_only
a14267,forward_only
a03467,both_directions
a06932,backward_only
a30630,isolated
a12527,forward_only
a08095,isolated
a05178,backward_only
a13501,backward_only
a11314,isolated
a04899,both_directions
a09610,isolated
a26390,isolated
a02876,isolated
a22688,forward_only
a25088,both_directions
a02165,forward_only
a28896,isolated
a05342,isolated
a02504,isolated
a23297,isolated
a08169,backward_only
a25238,both_directions
a10609,isolated
a19688,isolated
a01744,isolated
a30900,forward_only
a11704,isolated
a08199,backward_only
a15862,forward_only
a11665,isolated
a15481,backward_only
a14150,backward_only
a31474,both_directions
a16461,isolated
a24516,isolated
a17236,isolated
a04943,both_directions
a30145,forward_only
a11241,backward_only
a26292,backward_only
a00536,both_directions
a21019,backward_only
a01437,forward_only
a14274,backward_only
a16465,isolated
a21548,both_directions
a09710,backward_only
a28883,backward_only
a14385,both_directions
a14062,backward_only
a10073,isolated
a12197,backward_only
a00782,forward_only
a29076,isolated
a00935,isolated
a11653,backward_only
a27492,backward_only
a18103,backward_only
a29113,both_directions
a21322,isolated
a25927,backward_only
a28461,backward_only
a20481,isolated
a26854,both_directions
a26782,forward_only
a11289,isolated
a11797,backward_only
a07459,isolated
a20276,isolated
a14358,backward_only
a22135,backward_only
a21756,isolated
a25160,isolated
a30300,backward_only
a18425,isolated
a29996,isolated
a24699,isolated
a03160,isolated
a14997,backward_only
a27115,isolated
a22949,isolated
a04571,both_directions
a23514,isolated
a21465,both_directions
a04247,forward_only
a26165,both_directions
a03503,backward_only
a28865,forward_only
a24305,isolated
a10858,isolated
a07077,isolated
a02383,isolated
a24612,both_directions
a29282,forward_only
a22602,isolated
a08220,forward_only
a08479,forward_only
a30861,backward_only
a31119,isolated
a07516,forward_only
a13811,backward_only
a16740,both_directions
a28443,backward_only
a01812,isolated
a24731,isolated
a22836,backward_only
a15172,both_directions
a12237,isolated
a15811,backward_only
a26110,backward_only
a25115,both_directions
a23658,both_directions
a26947,backward_only
a04359,forward_only
a19845,isolated
a11735,both_directions
a11948,both_directions
a14818,backward_only
a29240,isolated
a03751,isolated
a20576,isolated
a28123,both_directions
a29517,forward_only
a19632,both_directions
a07137,isolated
a31278,both_directions
a16630,both_directions
a10195,forward_only
a18883,isolated
a03252,isolated
a19269,backward_only
a18162,backward_only
a26834,isolated
a26846,backward_only
a17958,forward_only
a21076,isolated
a17036,forward_only
a31396,both_directions
a01649,isolated
a06330,isolated
a15638,forward_only
a03784,isolated
a05165,isolated
a29396,backward_only
a27002,both_directions
a15299,isolated
a30812,backward_only
a05965,both_directions
a20616,isolated
a05543,forward_only
a24130,forward_only
a04910,forward_only
a22381,isolated
a18762,isolated
a20990,backward_only
a24187,forward_only
a21855,isolated
a17711,isolated
a30643,backward_only
a05289,backward_only
a22409,isolated
a23605,both_directions
a01462,forward_only
a03257,backward_only
a15095,isolated
a16648,isolated
a06255,isolated
a12983,both_directions
a13194,backward_only
a18237,backward_only
a14830,isolated
a15400,backward_only
a24679,backward_only
a05135,both_directions
a20545,isolated
a02299,backward_only
a23577,isolated
a26796,isolated
a18946,isolated
a17203,isolated
a09084,forward_only
a29351,forward_only
a15930,isolated
a28014,both_directions
a28239,both_directions
a06950,isolated
a11009,isolated
a00301,forward_only
a15515,backward_only
a04720,isolated
a22365,isolated
a00082,isolated
a06435,forward_only
a01310,isolated
a07825,both_directions
a27629,both_directions
a16418,isolated
a22511,forward_only
a28732,backward_only
a03919,isolated
a01770,backward_only
a29448,isolated
a16094,isolated
a19208,backward_only
a06114,isolated
a14999,isolated
a20748,backward_only
a28212,isolated
a15556,both_directions
a01296,isolated
a16447,backward_only
a12725,isolated
a10745,isolated
a27608,isolated
a30000,isolated
a24061,isolated
a17541,isolated
a06381,forward_only
a21005,backward_only
a03566,isolated
a15604,both_directions
a03194,isolated
a29374,backward_only
a05651,backward_only
a10224,isolated
a14436,forward_only
a29857,forward_only
a25179,isolated
a10742,forward_only
a22275,isolated
a26168,isolated
a24511,isolated
a13311,both_directions
a11153,both_directions
a22634,backward_only
a26621,isolated
a00382,isolated
a25647,isolated
a18624,isolated
a02896,both_directions
a08311,forward_only
a07047,isolated
a18729,isolated
a04391,isolated
a00916,both_directions
a24430,isolated
a00076,forward_only
a08748,isolated
a23014,forward_only
a18465,both_directions
a10052,isolated
a14840,both_directions
a18116,forward_only
a10467,backward_only
a25032,isolated
a15348,both_directions
a12176,isolated
a17648,backward_only
a25269,backward_only
a06482,forward_only
a22883,isolated
a22401,isolated
a06399,isolated
a28331,backward_only
a10047,isolated
a18730,isolated
a19192,backward_only
a08464,backward_only
a18513,forward_only
a07386,isolated
a20633,isolated
a28552,backward_only
a20668,isolated
a05658,backward_only
a17683,backward_only
a24420,both_directions
a13039,forward_only
a22752,isolated
a25187,isolated
a19920,forward_only
a00582,isolated
a19003,isolated
a27004,both_directions
a22032,isolated
a00297,isolated
a26439,backward_only
a22750,isolated
a24607,isolated
a04559,isolated
a20270,isolated
a11752,backward_only
a06678,isolated
a03383,backward_only
a05898,both_directions
a17801,isolated
a28429,isolated
a25455,isolated
a08633,backward_only
a26276,isolated
a18728,both_directions
a01170,both_directions
a27108,backward_only
a23961,forward_only
a03278,both_directions
a22351,forward_only
a12316,isolated
a15381,isolated
a26235,isolated
a19857,forward_only
a25855,isolated
a19067,backward_only
a12153,both_directions
a13682,backward_only
a13051,forward_only
a12751,forward_only
a31059,isolated
a27388,both_directions
a26848,isolated
a22077,backward_only
a21169,isolated
a06802,backward_only
a04437,isolated
a10394,forward_only
a10390,forward_only
a09943,forward_only
a09701,backward_only
a14865,forward_only
a07944,forward_only
a13979,both_directions
a25165,backward_only
a06660,backward_only
a09347,isolated
a02049,both_directions
a14536,both_directions
a23558,both_directions
a12105,both_directions
a17929,isolated
a24631,isolated
a13630,both_directions
a11250,isolated
a04373,isolated
a30774,forward_only
a19599,isolated
a19111,backward_only
a00677,both_directions
a15701,isolated
a00450,isolated
a13031,both_directions
a02608,isolated
a25792,forward_only
a29626,both_directions
a10044,isolated
a04735,isolated
a01620,backward_only
a07350,forward_only
a29877,isolated
a17770,both_directions
a16857,isolated
a31398,backward_only
a21091,both_directions
a12862,backward_only
a12504,both_directions
a16945,backward_only
a30510,isolated
a01895,isolated
a00051,both_directions
a17627,isolated
a16734,forward_only
a23021,forward_only
a18377,isolated
a02853,backward_only
a03492,forward_only
a05246,backward_only
a00353,isolated
a27847,isolated
a17249,isolated
a04056,isolated
a04539,isolated
a30327,backward_only
a30031,backward_only
a30976,isolated
a12618,isolated
a07916,both_directions
a04803,both_directions
a23463,isolated
a05986,both_directions
a15231,backward_only
a20629,backward_only
a10593,backward_only
a12686,isolated
a18028,backward_only
a03030,backward_only
a11705,forward_only
a15317,isolated
a03416,isolated
a02479,isolated
a12104,backward_only
a09473,backward_only
a25369,backward_only
a21947,isolated
a11788,forward_only
a31049,backward_only
a27366,both_directions
a28892,isolated
a12627,both_directions
a22423,isolated
a11729,forward_only
a11187,isolated
a03588,isolated
a13458,isolated
a07672,backward_only
a04035,isolated
a06217,both_directions
a29492,forward_only
a03269,isolated
a26642,backward_only
a08373,isolated
a13218,both_directions
a07561,isolated
a20397,forward_only
a20570,isolated
a24811,isolated
a01515,isolated
a11861,both_directions
a09692,isolated
a18245,backward_only
a13559,isolated
a06676,backward_only
a07544,backward_only
a02628,forward_only
a30828,isolated
a05852,forward_only
a13250,isolated
a05568,isolated
a15236,backward_only
a25893,isolated
a19812,forward_only
a26404,isolated
a22693,forward_only
a02589,isolated
a16396,both_directions
a11547,backward_only
a15882,isolated
a28423,backward_only
a09964,forward_only
a25276,isolated
a24300,forward_only
a27164,both_directions
a06808,both_directions
a21046,backward_only
a20475,backward_only
a11287,isolated
a28057,backward_only
a10380,forward_only
a29363,isolated
a12310,isolated
a12481,both_directions
a29760,isolated
a31150,backward_only
a25379,isolated
a13260,isolated
a28082,forward_only
a14263,forward_only
a09157,isolated
a07370,isolated
a19397,backward_only
a24555,isolated
a08578,forward_only
a28028,both_directions
a06960,backward_only
a02578,backward_only
a07690,both_directions
a12207,isolated
a13816,isolated
a06911,backward_only
a10520,backward_only
a07478,backward_only
a08812,both_directions
a12219,isolated
a29298,isolated
a11401,backward_only
a09725,backward_only
a06850,both_directions
a27959,isolated
a11502,isolated
a00048,both_directions
a27904,isolated
a21931,isolated
a27513,isolated
a00815,forward_only
a09184,isolated
a00231,forward_only
a15654,forward_only
a00130,backward_only
a30196,both_directions
a09470,forward_only
a30552,isolated
a22118,isolated
a30048,both_directions
a23719,both_directions
a20529,forward_only
a28259,isolated
a11302,forward_only
a15316,isolated
a13845,isolated
a17707,isolated
a21831,isolated
a06488,isolated
a06158,isolated
a22532,both_directions
a07649,isolated
a30856,isolated
a20573,isolated
a19229,both_directions
a03970,both_directions
a12550,backward_only
a12537,isolated
a10026,isolated
a23551,isolated
a28836,isolated
a07813,isolated
a26085,isolated
a15302,forward_only
a14294,isolated
a19548,backward_only
a04687,isolated
a29713,forward_only
a03843,both_directions
a23808,backward_only
a28351,isolated
a03026,both_directions
a01256,forward_only
a09930,isolated
a17971,isolated
a09717,forward_only
a24977,backward_only
a24347,both_directions
a06070,isolated
a31402,backward_only
a21093,isolated
a30703,both_directions
a24771,isolated
a21682,both_directions
a24289,isolated
a29958,isolated
a11183,both_directions
a31098,forward_only
a31086,isolated
a02635,both_directions
a23878,isolated
a29402,backward_only
a17093,isolated
a29774,isolated
a02794,isolated
a05804,isolated
a04338,both_directions
a11453,both_directions
a10154,isolated
a13841,both_directions
a08833,backward_only
a10391,backward_only
a27245,isolated
a00841,isolated
a01970,isolated
a06345,backward_only
a30152,isolated
a08454,backward_only
a20812,both_directions
a24053,isolated
a03354,isolated
a13749,isolated
a16916,isolated
a02979,forward_only
a15883,forward_only
a29058,isolated
a28648,backward_only
a00070,isolated
a18979,both_directions
a22002,backward_only
a10675,backward_only
a21982,forward_only
a28024,forward_only
a01323,forward_only
a04511,both_directions
a18927,backward_only
a03882,backward_only
a09939,backward_only
a22347,backward_only
a26791,isolated
a13640,backward_only
a23133,isolated
a02196,backward_only
a14948,both_directions
a10627,backward_only
a25378,both_directions
a18269,forward_only
a10585,isolated
a24291,backward_only
a07581,backward_only
a15898,forward_only
a14937,isolated
a22272,isolated
a13797,both_directions
a22262,isolated
a23917,backward_only
a16867,backward_only
a28837,backward_only
a21207,both_directions
a18602,isolated
a24837,isolated
a21404,both_directions
a16048,isolated
a27563,isolated
a00269,both_directions
a07006,isolated
a28334,backward_only
a18463,forward_only
a11537,isolated
a05575,both_directions
a02429,isolated
a13861,isolated
a13287,isolated
a22650,isolated
a00406,isolated
a08577,both_directions
a20538,isolated
a28251,backward_only
a09457,backward_only
a21525,backward_only
a24756,isolated
a27994,isolated
a26628,isolated
a15651,isolated
a05940,isolated
a04884,isolated
a10021,both_directions
a24615,backward_only
a18255,isolated
a03601,isolated
a07231,isolated
a14005,forward_only
a20834,backward_only
a25009,isolated
a05650,forward_only
a28571,both_directions
a22080,isolated
a02837,isolated
a21570,isolated
a22980,forward_only
a14281,backward_only
a03864,isolated
a16661,backward_only
a27338,isolated
a16117,isolated
a07318,both_directions
a19658,isolated
a25558,isolated
a08430,isolated
a14126,isolated
a12879,isolated
a29400,isolated
a07190,forward_only
a19575,backward_only
a29901,isolated
a27944,isolated
a02807,backward_only
a29100,both_directions
a12663,both_directions
a18511,isolated
a21573,isolated
a04174,both_directions
a30293,backward_only
a09310,forward_only
a26483,backward_only
a00845,isolated
a08645,isolated
a22396,forward_only
a12135,both_directions
a22580,forward_only
a08870,forward_only
a01038,both_directions
a14880,backward_only
a24874,backward_only
a15791,isolated
a09037,backward_only
a14445,isolated
a25434,isolated
a20354,isolated
a01336,backward_only
a00834,isolated
a11899,isolated
a12354,isolated
a02828,both_directions
a03228,forward_only
a20958,isolated
a30301,both_directions
a29211,isolated
a28088,isolated
a23456,backward_only
a08743,isolated
a09917,isolated
a09014,isolated
a22941,backward_only
a26700,isolated
a01975,backward_only
a30219,isolated
a02209,isolated
a25514,isolated
a10848,isolated
a20233,isolated
a09637,backward_only
a12012,isolated
a03629,isolated
a18031,backward_only
a15024,isolated
a27023,forward_only
a20518,isolated
a11756,both_directions
a22617,backward_only
a12173,isolated
a12626,isolated
a28494,forward_only
a15537,isolated
a27385,isolated
a18947,isolated
a11411,isolated
a06039,isolated
a04458,backward_only
a12506,isolated
a27520,both_directions
a14446,backward_only
a13445,isolated
a16898,isolated
a07313,both_directions
a12029,isolated
a09317,both_directions
a07513,isolated
a25612,backward_only
a18819,isolated
a26650,backward_only
a28968,isolated
a30186,backward_only
a30277,isolated
a02942,forward_only
a29629,backward_only
a12478,isolated
a18768,isolated
a29392,both_directions
a05128,backward_only
a10687,isolated
a09876,backward_only
a21503,both_directions
a21552,isolated
a19564,both_directions
a08181,backward_only
a29311,backward_only
a17399,backward_only
a29480,isolated
a19883,both_directions
a12680,both_directions
a01910,isolated
a18813,isolated
a09890,isolated
a15647,isolated
a15742,backward_only
a26675,forward_only
a27835,forward_only
a09840,isolated
a06390,isolated
a30906,isolated
a14485,isolated
a29849,isolated
a09170,isolated
a03489,both_directions
a10510,both_directions
a24638,isolated
a14309,forward_only
a15916,isolated
a05705,isolated
a00448,forward_only
a24890,isolated
a00263,isolated
a06036,backward_only
a14373,forward_only
a20159,forward_only
a30948,isolated
a13000,backward_only
a15271,backward_only
a31014,isolated
a29353,isolated
a09763,backward_only
a11816,backward_only
a18899,both_directions
a18704,isolated
a31203,isolated
a04386,backward_only
a28591,backward_only
a08728,isolated
a21965,forward_only
a23715,isolated
a08361,forward_only
a09336,backward_only
a02962,isolated
a25791,isolated
a21518,forward_only
a28485,forward_only
a27822,isolated
a20775,isolated
a25484,forward_only
a04562,isolated
a23375,both_directions
a17178,forward_only
a16353,forward_only
a11011,isolated
a16551,isolated
a29418,forward_only
a25588,isolated
a02735,both_directions
a28734,backward_only
a19260,isolated
a21968,backward_only
a02241,isolated
a17864,isolated
a06689,isolated
a19062,backward_only
a20763,isolated
a15674,isolated
a12041,isolated
a28831,isolated
a06761,both_directions
a03927,forward_only
a02216,forward_only
a17035,isolated
a01552,backward_only
a06667,isolated
a25878,isolated
a10237,both_directions
a01777,backward_only
a26938,isolated
a24422,both_directions
a17756,isolated
a25693,isolated
a29662,backward_only
a09273,forward_only
a29010,both_directions
a17545,backward_only
a00017,isolated
a09437,isolated
a23342,isolated
a04290,isolated
a10657,isolated
a24350,isolated
a27441,forward_only
a27017,backward_only
a26025,isolated
a27334,backward_only
a04649,isolated
a00883,backward_only
a22555,isolated
a19078,isolated
a04377,forward_only
a20006,isolated
a30871,isolated
a25950,isolated
a21054,isolated
a23673,isolated
a15911,both_directions
a24006,isolated
a24685,backward_only
a06652,isolated
a30600,both_directions
a08170,isolated
a17555,isolated
a03658,forward_only
a04468,isolated
a27114,forward_only
a20656,isolated
a01697,backward_only
a13567,backward_only
a16776,backward_only
a18919,backward_only
a25923,isolated
a27645,isolated
