account,traditional_category
a13246,isolated
a02916,isolated
a19517,backward_only
a29262,isolated
a19148,backward_only
a05420,both_directions
a29727,backward_only
a13249,backward_only
a17310,isolated
a06893,isolated
a16083,isolated
a20133,isolated
a17772,backward_only
a21862,both_directions
a06846,isolated
a27504,both_directions
a01033,backward_only
a21821,both_directions
a14331,isolated
a05890,both_directions
a26873,isolated
a08963,isolated
a24207,forward_only
a02232,isolated
a14938,forward_only
a11122,backward_only
a07599,backward_only
a18785,isolated
a28942,backward_only
a00607,isolated
a29890,isolated
a21589,isolated
a28976,isolated
a10270,isolated
a28752,isolated
a04561,isolated
a22265,isolated
a20756,isolated
a06301,backward_only
a13882,isolated
a08564,forward_only
a12136,backward_only
a08319,backward_only
a13887,both_directions
a24953,isolated
a24893,isolated
a01099,backward_only
a18264,isolated
a03128,forward_only
a19674,backward_only
a02336,isolated
a21934,forward_only
a17699,isolated
a16693,isolated
a29110,isolated
a06032,backward_only
a16282,isolated
a27874,isolated
a13596,forward_only
a02277,backward_only
a13231,both_directions
a30413,isolated
a00621,isolated
a03424,backward_only
a12433,both_directions
a24512,backward_only
a22625,backward_only
a01907,isolated
a05877,isolated
a12263,isolated
a18102,isolated
a29074,isolated
a12683,forward_only
a24228,isolated
a19077,both_directions
a11110,both_directions
a14071,isolated
a01891,both_directions
a11116,isolated
a13875,both_directions
a00486,isolated
a08959,both_directions
a17741,backward_only
a29514,isolated
a21157,isolated
a20259,isolated
a27236,isolated
a25021,isolated
a31065,isolated
a00625,forward_only
a07541,backward_only
a29380,isolated
a30430,isolated
a06817,both_directions
a17336,both_directions
a29018,forward_only
a08850,both_directions
a15923,backward_only
a17763,isolated
a11484,both_directions
a07639,backward_only
a31312,both_directions
a16307,both_directions
a16398,isolated
a10679,isolated
a19661,isolated
a12323,isolated
a18046,isolated
a12966,isolated
a26139,isolated
a06363,isolated
a01316,both_directions
a16723,isolated
a17666,forward_only
a17252,isolated
a11933,isolated
a23559,forward_only
a23908,backward_only
a26314,isolated
a13675,forward_only
a09442,isolated
a10757,both_directions
a00981,isolated
a02842,isolated
a02351,forward_only
a15630,isolated
a14800,isolated
a20931,forward_only
a30119,both_directions
a04863,isolated
a22483,isolated
a01208,both_directions
a20269,isolated
a30913,isolated
a14025,forward_only
a22180,both_directions
a20600,backward_only
a10486,isolated
a23995,backward_only
a02591,isolated
a08061,backward_only
a17950,both_directions
a25802,isolated
a06283,both_directions
a18628,isolated
a15676,backward_only
a23200,isolated
a16189,forward_only
a13715,isolated
a16224,backward_only
a08878,isolated
a02693,backward_only
a18661,isolated
a27432,both_directions
a24951,isolated
