account,out_degree,in_degree,degree_ratio,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,avg_forward_path_length,max_forward_path_length,forward_path_count,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize,avg_backward_path_length,max_backward_path_length,backward_path_count
a00340,2,1,1.0,0.0,0.0,0,-550000000000.0,-550000000000.0,1,2.0,2,1,0.0,0.0,0,503800000000.0,503800000000.0,1,2.0,2,1
a12455,6,2,2.0,0.0,0.0,0,-53360384000.0,-53360384000.0,3,2.0,2,3,3548075735691840.5,3548075735691840.5,6,1398223530036.0,1398223530036.0,6,3.0,3,6
a14038,18,7,2.25,0.0,0.0,0,43741779167765.8,43741779167765.8,3,2.0,2,3,32550427470000.0,32550427470000.0,6,71758080000000.0,71758080000000.0,6,3.0,3,6
a27751,3,2,1.0,0.0,0.0,0,1.0009961e+16,1.0009961e+16,3,2.0,2,3,0.0,0.0,0,1.00099916e+16,1.00099916e+16,2,2.0,2,2
a01475,35,1,17.5,0.0,0.0,0,-70563281250.0,-70563281250.0,3,2.0,2,3,0.0,0.0,0,317900000000.0,317900000000.0,1,2.0,2,1
a22265,0,1,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,-2130000000.0,-2130000000.0,1,2.0,2,1
a12515,18,11,1.5,0.0,0.0,0,2916307676216614.0,2916307676216614.0,3,2.0,2,3,0.0,0.0,0,3000706000000000.0,3000706000000000.0,3,2.0,2,3
a24121,230,14,15.333333333333334,0.0,0.0,0,16495586100000.0,16495586100000.0,3,2.0,2,3,0.0,0.0,0,22997250000000.0,22997250000000.0,3,2.0,2,3
a19683,28,1,14.0,0.0,0.0,0,-218988600600.0,-218988600600.0,3,2.0,2,3,0.0,0.0,0,890961500000.0,890961500000.0,1,2.0,2,1
a05100,2,5,0.3333333333333333,3999040000000000.0,3999040000000000.0,2,6517526359730.301,6517526359730.301,2,3.0,3,2,0.0,0.0,0,4053597653511.2217,4053597653511.2217,3,2.0,2,3
a05277,91,78,1.1518987341772151,1.23742553721e+17,1.23742553721e+17,9,326331540000000.0,326331540000000.0,9,3.0,3,9,0.0,0.0,0,59985192900000.0,59985192900000.0,3,2.0,2,3
a19080,95,55,1.6964285714285714,0.0,0.0,0,1989949946033078.0,1989949946033078.0,2,2.0,2,2,0.0,0.0,0,949984934000000.0,949984934000000.0,3,2.0,2,3
a25192,5,5,0.8333333333333334,0.0,0.0,0,-74264810541.0,-74264810541.0,1,2.0,2,1,9343863133458144.0,9343863133458144.0,9,89750917963.8,89750917963.8,9,3.0,3,9
a12151,30,4,6.0,0.0,0.0,0,3050000000000.0,3050000000000.0,3,2.0,2,3,0.0,0.0,0,3286770000000.0,3286770000000.0,3,2.0,2,3
a00201,24,2,8.0,0.0,0.0,0,-20756250000.0,-20756250000.0,2,2.0,2,2,397480000000.0,397480000000.0,2,496976000000.0,496976000000.0,2,3.0,3,2
a03978,0,134,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,3007739738004.904,3007739738004.904,3,2.0,2,3
a16415,9,1,4.5,0.0,0.0,0,33373314289064.457,33373314289064.457,3,2.0,2,3,0.0,0.0,0,34334060000000.0,34334060000000.0,1,2.0,2,1
a19785,0,28,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,6083094476772.72,6083094476772.72,3,2.0,2,3
a00114,0,1,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,249811000000.0,249811000000.0,1,2.0,2,1
a02515,7,6,1.0,0.0,0.0,0,7925727310000.0,7925727310000.0,3,2.0,2,3,0.0,0.0,0,7939128200000.0,7939128200000.0,3,2.0,2,3
a08068,4,2,1.3333333333333333,0.0,0.0,0,1163308190000.0,1163308190000.0,3,2.0,2,3,0.0,0.0,0,1901835380000.0,1901835380000.0,2,2.0,2,2
a24723,9,37,0.2368421052631578,1.23742553721e+17,1.23742553721e+17,9,17732569250250.445,17732569250250.445,9,3.0,3,9,0.0,0.0,0,1523370441023.565,1523370441023.565,3,2.0,2,3
a16756,164,103,1.5769230769230769,0.0,0.0,0,2043372100000000.0,2043372100000000.0,3,2.0,2,3,0.0,0.0,0,1049991390000000.0,1049991390000000.0,1,2.0,2,1
a12218,3,1,1.5,0.0,0.0,0,-8247650000.0,-8247650000.0,3,2.0,2,3,0.0,0.0,0,7497520000.0,7497520000.0,1,2.0,2,1
a20069,2,2,0.6666666666666666,39879495980000.0,39879495980000.0,2,230982334072140.0,230982334072140.0,2,3.0,3,2,0.0,0.0,0,230976854456562.47,230976854456562.47,2,2.0,2,2
a06210,8,4,1.6,0.0,0.0,0,13917339814195.88,13917339814195.88,2,2.0,2,2,0.0,0.0,0,42539610000000.0,42539610000000.0,3,2.0,2,3
a11842,29,0,29.0,0.0,0.0,0,-7500000000.0,-7500000000.0,3,2.0,2,3,0.0,0.0,0,0.0,0.0,0,1.0,1,1
a30590,1,1,0.5,0.0,0.0,0,140860690000.0,140860690000.0,1,2.0,2,1,0.0,0.0,0,150279816686.4549,150279816686.4549,1,2.0,2,1
a15944,9,1,4.5,0.0,0.0,0,-11010000000.0,-11010000000.0,3,2.0,2,3,0.0,0.0,0,13900000000.0,13900000000.0,1,2.0,2,1
a28701,1,1,0.5,0.0,0.0,0,-11859840000.0,-11859840000.0,1,2.0,2,1,0.0,0.0,0,8140160000.0,8140160000.0,1,2.0,2,1
a15625,4,32,0.1212121212121212,0.0,0.0,0,47497112136370.266,47497112136370.266,3,2.0,2,3,0.0,0.0,0,21362512800000.0,21362512800000.0,2,2.0,2,2
a27341,0,2,0.0,0.0,0.0,0,0.0,0.0,0,1.0,1,1,0.0,0.0,0,-291200000000.0,-291200000000.0,2,2.0,2,2
a23490,67,68,0.9710144927536232,-334750000000.0,-334750000000.0,3,51689242311489.69,51689242311489.69,3,3.0,3,3,0.0,0.0,0,29796934475691.4,29796934475691.4,3,2.0,2,3
a22519,2,1,1.0,0.0,0.0,0,1075921000000.0,1075921000000.0,1,2.0,2,1,0.0,0.0,0,1122921300000.0,1122921300000.0,1,2.0,2,1
a20396,7,4,1.4,0.0,0.0,0,185262059350.77753,185262059350.77753,2,2.0,2,2,523382582100000.0,523382582100000.0,7,7022901772712.562,7022901772712.562,7,3.0,3,7
a25841,27,10,2.4545454545454546,0.0,0.0,0,9930142958450.0,9930142958450.0,1,2.0,2,1,4844640000000.0,4844640000000.0,9,2376060000000.0,2376060000000.0,9,3.0,3,9
a27144,2,0,2.0,0.0,0.0,0,-8163000000.0,-8163000000.0,1,2.0,2,1,0.0,0.0,0,0.0,0.0,0,1.0,1,1
a04610,35,5,5.833333333333333,0.0,0.0,0,-14000000000.0,-14000000000.0,3,2.0,2,3,0.0,0.0,0,17375000000.0,17375000000.0,3,2.0,2,3
a25815,1,1,0.5,3488130120000000.0,3488130120000000.0,3,42084450000000.0,42084450000000.0,3,3.0,3,3,0.0,0.0,0,14024970000000.0,14024970000000.0,1,2.0,2,1
a10001,12,12,0.9230769230769232,-3883650000000.0,-3883650000000.0,9,1302295620000000.0,1302295620000000.0,9,3.0,3,9,0.0,0.0,0,434197458100000.0,434197458100000.0,3,2.0,2,3
a11832,4,4,0.8,0.0,0.0,0,-21091323889.8,-21091323889.8,1,2.0,2,1,9343863133458144.0,9343863133458144.0,9,-3851862993361.8,-3851862993361.8,9,3.0,3,9
a12616,12,61,0.1935483870967742,0.0,0.0,0,15866000000000.0,15866000000000.0,1,2.0,2,1,0.0,0.0,0,6646456478692.633,6646456478692.633,3,2.0,2,3
a06725,14,6,2.0,0.0,0.0,0,67504772440000.0,67504772440000.0,2,2.0,2,2,0.0,0.0,0,2228653500000.0,2228653500000.0,2,2.0,2,2
a20033,43,93,0.4574468085106383,1.23742553721e+17,1.23742553721e+17,9,5794000086030000.0,5794000086030000.0,9,3.0,3,9,0.0,0.0,0,1294034214000000.0,1294034214000000.0,3,2.0,2,3
a29735,33,48,0.673469387755102,0.0,0.0,0,31894116500000.0,31894116500000.0,3,2.0,2,3,0.0,0.0,0,24006911900000.0,24006911900000.0,3,2.0,2,3
a10761,1,10,0.0909090909090909,0.0,0.0,0,112794158790514.77,112794158790514.77,1,2.0,2,1,0.0,0.0,0,8197434659529.879,8197434659529.879,3,2.0,2,3
a25427,3,10,0.2727272727272727,0.0,0.0,0,146425683416317.75,146425683416317.75,3,2.0,2,3,0.0,0.0,0,10352922716317.744,10352922716317.744,2,2.0,2,2
a01994,6,2,2.0,0.0,0.0,0,-12866107000.0,-12866107000.0,3,2.0,2,3,0.0,0.0,0,58618720000.0,58618720000.0,2,2.0,2,2
a19224,6,4,1.2,0.0,0.0,0,-58367540000.0,-58367540000.0,2,2.0,2,2,0.0,0.0,0,25967039541584.117,25967039541584.117,3,2.0,2,3
