account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a16193,0.0,0.0,0,549478260000.0,549478260000.0,3,447500000000.0,447500000000.0,5,996978260000.0,996978260000.0,8,1334270000000.0,1334270000000.0,9,0.0,0.0,0,0.0,0.0,0,4966326757572318.0,4966326757572318.0,10,4966326757572318.0,4966326757572318.0,10,245756592930000.0,245756592930000.0,13
a24435,0.0,0.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,0.0,0.0,4,9765666946800000.0,9765666946800000.0,5,0.0,0.0,0,0.0,0.0,0,9765666946800000.0,9765666946800000.0,5,18661289317133.86,18661289317133.86,9
a25393,10071351438752.615,10071351438752.615,2,0.0,0.0,0,0.0,0.0,0,10071351438752.615,10071351438752.615,2,12965043453612.516,12965043453612.516,5,4427520000000.0,4427520000000.0,2,0.0,0.0,0,0.0,0.0,0,4427520000000.0,4427520000000.0,2,20487803993295.13,20487803993295.13,6
a11667,0.0,0.0,0,95000000000.0,95000000000.0,1,0.0,0.0,0,95000000000.0,95000000000.0,1,312500000000.0,312500000000.0,5,0.0,0.0,0,418648472395625.0,418648472395625.0,6,0.0,0.0,0,418648472395625.0,418648472395625.0,6,2185886000000.0,2185886000000.0,7
a22827,27460234500000.0,27460234500000.0,25,0.0,0.0,0,0.0,0.0,0,27460234500000.0,27460234500000.0,25,15201625000000.0,15201625000000.0,25,10259970000000.0,10259970000000.0,25,0.0,0.0,0,0.0,0.0,0,10259970000000.0,10259970000000.0,25,5.499998136006147e+17,5.499998136006147e+17,25
a02149,1011000000000.0,1011000000000.0,3,0.0,0.0,0,0.0,0.0,0,1011000000000.0,1011000000000.0,3,8274330388756.961,8274330388756.961,7,7621161470634.832,7621161470634.832,4,2047460309083.158,2047460309083.158,1,0.0,0.0,0,11659773479717.99,11659773479717.99,6,8566947772710.601,8566947772710.601,9
a21827,124158600000.0,124158600000.0,6,0.0,0.0,0,0.0,0.0,0,206931000000.0,206931000000.0,10,111188599500.0,111188599500.0,13,571953712671.5955,571953712671.5955,4,5004217978585.386,5004217978585.386,8,0.0,0.0,0,9530089562210.338,9530089562210.338,20,460855900000.0,460855900000.0,21
a05757,1081306081799457.0,1081306081799457.0,9,0.0,0.0,0,0.0,0.0,0,1092486115499457.0,1092486115499457.0,15,363921501000000.0,363921501000000.0,15,319197520000000.0,319197520000000.0,4,112600000000000.0,112600000000000.0,4,0.0,0.0,0,434392074327881.44,434392074327881.44,12,293276629800000.0,293276629800000.0,12
a30117,569559120000.0,569559120000.0,2,0.0,0.0,0,0.0,0.0,0,569559120000.0,569559120000.0,2,64005740000.0,64005740000.0,6,537072870000.0,537072870000.0,9,0.0,0.0,0,0.0,0.0,0,537072870000.0,537072870000.0,9,7073171880000.0,7073171880000.0,10
a24081,70995590000000.0,70995590000000.0,3,0.0,0.0,0,0.0,0.0,0,70995590000000.0,70995590000000.0,3,5315692298945.17,5315692298945.17,7,76537043563664.9,76537043563664.9,15,0.0,0.0,0,0.0,0.0,0,76537043563664.9,76537043563664.9,15,356336642999403.8,356336642999403.8,17
a06679,9995590000000.0,9995590000000.0,1,136635770000000.0,136635770000000.0,3,0.0,0.0,0,149579950000000.0,149579950000000.0,5,121488297410000.0,121488297410000.0,8,456441269533813.25,456441269533813.25,3,77389832392799.84,77389832392799.84,6,0.0,0.0,0,633818501926613.1,633818501926613.1,10,114694708400000.0,114694708400000.0,12
a21117,126440000000.0,126440000000.0,2,101370000000.0,101370000000.0,1,0.0,0.0,0,347710000000.0,347710000000.0,5,108460000000.0,108460000000.0,5,70901330000.0,70901330000.0,2,92939230000.0,92939230000.0,1,0.0,0.0,0,233391120000.0,233391120000.0,5,330220000000.0,330220000000.0,5
a00360,1344043749842.842,1344043749842.842,2,0.0,0.0,0,0.0,0.0,0,1344043749842.842,1344043749842.842,2,1193014125948.3386,1193014125948.3386,3,102368247966.28458,102368247966.28458,2,0.0,0.0,0,0.0,0.0,0,102368247966.28458,102368247966.28458,2,1344043749842.842,1344043749842.842,2
a07063,2508035919208.9966,2508035919208.9966,15,0.0,0.0,0,0.0,0.0,0,2508035919208.9966,2508035919208.9966,15,25761650500000.0,25761650500000.0,17,6519702946139.331,6519702946139.331,10,0.0,0.0,0,0.0,0.0,0,6519702946139.331,6519702946139.331,10,9575210200000.0,9575210200000.0,13
a15607,0.0,0.0,0,0.0,0.0,0,9999747990000.0,9999747990000.0,1,9999747990000.0,9999747990000.0,1,80325517989693.62,80325517989693.62,5,456441269533813.25,456441269533813.25,3,28396136392799.84,28396136392799.84,1,0.0,0.0,0,584824805926613.0,584824805926613.0,5,332445430806634.2,332445430806634.2,9
