account,profit_category
a29074,loss_or_zero
a12683,very_high_profit
a24228,loss_or_zero
a19077,very_high_profit
a11110,very_high_profit
a14071,loss_or_zero
a01891,very_high_profit
a11116,loss_or_zero
a13875,very_high_profit
a00486,loss_or_zero
a08959,loss_or_zero
a17741,very_high_profit
a29514,loss_or_zero
a21157,loss_or_zero
a20259,loss_or_zero
a27236,loss_or_zero
a25021,loss_or_zero
a31065,loss_or_zero
a00625,very_high_profit
a07541,very_high_profit
a29380,loss_or_zero
a30430,loss_or_zero
a06817,very_high_profit
a17336,very_high_profit
a29018,loss_or_zero
a08850,very_high_profit
a15923,very_high_profit
a17763,loss_or_zero
a11484,very_high_profit
a07639,very_high_profit
a31312,very_high_profit
a16307,very_high_profit
a16398,loss_or_zero
a10679,loss_or_zero
a19661,loss_or_zero
a12323,loss_or_zero
a18046,loss_or_zero
a12966,loss_or_zero
a26139,loss_or_zero
a06363,loss_or_zero
a01316,very_high_profit
a16723,loss_or_zero
a17666,loss_or_zero
a17252,loss_or_zero
a11933,loss_or_zero
a23559,very_high_profit
a23908,very_high_profit
a26314,loss_or_zero
a13675,very_high_profit
a09442,loss_or_zero
a10757,very_high_profit
a00981,loss_or_zero
a02842,loss_or_zero
a02351,very_high_profit
a15630,loss_or_zero
a14800,loss_or_zero
a20931,very_high_profit
a30119,very_high_profit
a04863,loss_or_zero
a22483,loss_or_zero
a01208,very_high_profit
a20269,loss_or_zero
a30913,loss_or_zero
a14025,very_high_profit
a22180,very_high_profit
a20600,very_high_profit
a10486,loss_or_zero
a23995,very_high_profit
a02591,loss_or_zero
a08061,very_high_profit
a17950,very_high_profit
a25802,loss_or_zero
a06283,very_high_profit
a18628,loss_or_zero
a15676,very_high_profit
a23200,loss_or_zero
a16189,very_high_profit
a13715,loss_or_zero
a16224,very_high_profit
a08878,loss_or_zero
a02693,very_high_profit
a18661,loss_or_zero
a27432,very_high_profit
a24951,loss_or_zero
a23091,very_high_profit
a21462,loss_or_zero
a06712,loss_or_zero
a13078,loss_or_zero
a05891,very_high_profit
a14395,loss_or_zero
a20794,loss_or_zero
a14931,loss_or_zero
a30752,very_high_profit
a21316,very_high_profit
a20263,loss_or_zero
a26523,very_high_profit
a15729,loss_or_zero
a22132,loss_or_zero
a21074,loss_or_zero
a19198,very_high_profit
a30836,very_high_profit
a21332,very_high_profit
a03051,loss_or_zero
a22233,very_high_profit
a31309,very_high_profit
a25440,very_high_profit
a29450,loss_or_zero
a27362,very_high_profit
a18524,very_high_profit
a04738,very_high_profit
a04847,very_high_profit
a18574,loss_or_zero
a25457,loss_or_zero
a27966,very_high_profit
a22692,very_high_profit
a23739,loss_or_zero
a19183,loss_or_zero
a01457,loss_or_zero
a02683,very_high_profit
a08087,loss_or_zero
a27538,very_high_profit
a10770,loss_or_zero
a27770,loss_or_zero
a19593,very_high_profit
a12977,loss_or_zero
a06396,loss_or_zero
a22794,loss_or_zero
a29550,very_high_profit
a21706,very_high_profit
a15361,loss_or_zero
a13128,very_high_profit
a05052,very_high_profit
a11297,loss_or_zero
a18175,loss_or_zero
a22444,very_high_profit
a21426,loss_or_zero
a14337,very_high_profit
a15233,very_high_profit
a30590,loss_or_zero
a13808,loss_or_zero
a29375,loss_or_zero
a01685,very_high_profit
a01793,loss_or_zero
a04996,very_high_profit
a01275,loss_or_zero
a24204,loss_or_zero
a00913,very_high_profit
a08461,very_high_profit
a02323,very_high_profit
a15328,very_high_profit
a11118,loss_or_zero
a28792,loss_or_zero
a17294,very_high_profit
a04049,loss_or_zero
a26253,loss_or_zero
a27687,very_high_profit
a23579,loss_or_zero
a07594,very_high_profit
a21526,very_high_profit
a13595,loss_or_zero
a05573,loss_or_zero
a11449,loss_or_zero
a28581,very_high_profit
a18626,loss_or_zero
a17779,loss_or_zero
a17084,very_high_profit
a03983,loss_or_zero
a30904,very_high_profit
a26779,loss_or_zero
a30261,very_high_profit
a27851,very_high_profit
a13423,very_high_profit
a24477,very_high_profit
a27455,very_high_profit
a09297,loss_or_zero
a26926,very_high_profit
a05423,very_high_profit
a07827,very_high_profit
a01612,very_high_profit
a25364,very_high_profit
a19234,loss_or_zero
a23223,very_high_profit
a30332,loss_or_zero
a17490,very_high_profit
a19087,loss_or_zero
a05666,loss_or_zero
a00678,very_high_profit
a03290,loss_or_zero
a22403,loss_or_zero
a31178,very_high_profit
a15053,loss_or_zero
a05193,very_high_profit
a16257,very_high_profit
a10339,very_high_profit
a24970,loss_or_zero
a11711,loss_or_zero
a22036,loss_or_zero
a14221,very_high_profit
a12375,loss_or_zero
a16820,loss_or_zero
a00868,loss_or_zero
a15003,loss_or_zero
a07226,loss_or_zero
a07236,very_high_profit
a23262,very_high_profit
a30605,very_high_profit
a03794,loss_or_zero
a00603,very_high_profit
a02789,loss_or_zero
a21833,very_high_profit
a02132,loss_or_zero
a14754,very_high_profit
a30709,loss_or_zero
a30905,loss_or_zero
a27403,very_high_profit
a15441,loss_or_zero
a01747,loss_or_zero
a23071,loss_or_zero
a23268,very_high_profit
a18083,very_high_profit
a02606,very_high_profit
a04769,loss_or_zero
a29858,very_high_profit
a18484,very_high_profit
a30291,loss_or_zero
a09384,loss_or_zero
a00610,loss_or_zero
a23943,very_high_profit
a25725,loss_or_zero
a07937,very_high_profit
a22333,very_high_profit
a10040,very_high_profit
a25446,very_high_profit
a09852,very_high_profit
a24747,loss_or_zero
a15309,loss_or_zero
a17043,loss_or_zero
a03117,very_high_profit
a05294,loss_or_zero
a10638,loss_or_zero
a09675,very_high_profit
a17928,very_high_profit
a16306,very_high_profit
a07603,loss_or_zero
a02010,loss_or_zero
a07844,very_high_profit
a31134,loss_or_zero
a07276,loss_or_zero
a16523,loss_or_zero
a13732,very_high_profit
a22402,very_high_profit
a24340,loss_or_zero
a14694,loss_or_zero
a00191,loss_or_zero
a28224,very_high_profit
a13204,very_high_profit
a03415,very_high_profit
a03040,very_high_profit
a25770,very_high_profit
a30669,very_high_profit
a28843,loss_or_zero
a03227,loss_or_zero
a15494,loss_or_zero
a14925,very_high_profit
a28116,loss_or_zero
a00671,very_high_profit
a23442,loss_or_zero
a26386,very_high_profit
a11779,loss_or_zero
a00300,very_high_profit
a23852,very_high_profit
a29401,very_high_profit
a15207,very_high_profit
a14079,very_high_profit
a12411,loss_or_zero
a18507,loss_or_zero
a24186,very_high_profit
a22000,loss_or_zero
a06602,loss_or_zero
a27787,loss_or_zero
a15848,loss_or_zero
a04334,loss_or_zero
a14069,loss_or_zero
a25593,loss_or_zero
a31383,loss_or_zero
a26537,very_high_profit
a20394,very_high_profit
a18811,very_high_profit
a17976,very_high_profit
a15139,very_high_profit
a24728,very_high_profit
a29183,very_high_profit
a01773,loss_or_zero
a09566,loss_or_zero
a13762,loss_or_zero
a09935,very_high_profit
a17471,loss_or_zero
a24978,very_high_profit
a11598,loss_or_zero
a14118,loss_or_zero
a00769,very_high_profit
a28320,loss_or_zero
a29216,very_high_profit
a09983,loss_or_zero
a25444,very_high_profit
a15706,loss_or_zero
a13205,very_high_profit
a23108,very_high_profit
a15073,loss_or_zero
a30860,very_high_profit
a30736,very_high_profit
a00531,loss_or_zero
a08905,very_high_profit
a17538,very_high_profit
a13502,loss_or_zero
a22832,very_high_profit
a03455,very_high_profit
a23306,loss_or_zero
a08002,very_high_profit
a31494,loss_or_zero
a00865,loss_or_zero
a05218,loss_or_zero
a16547,loss_or_zero
a02025,loss_or_zero
a30770,very_high_profit
a14104,very_high_profit
a05339,very_high_profit
a20554,loss_or_zero
a05225,loss_or_zero
a30776,loss_or_zero
a01216,loss_or_zero
a05011,very_high_profit
a09167,very_high_profit
a05966,very_high_profit
a11866,loss_or_zero
a20662,very_high_profit
a21025,very_high_profit
a13553,very_high_profit
a13783,loss_or_zero
a05005,very_high_profit
a26944,very_high_profit
a28722,very_high_profit
a07261,very_high_profit
a14409,loss_or_zero
a23493,loss_or_zero
a28635,loss_or_zero
a22582,loss_or_zero
a22348,loss_or_zero
a20161,loss_or_zero
a14715,very_high_profit
a02367,loss_or_zero
a09386,loss_or_zero
a03789,very_high_profit
a22240,very_high_profit
a00367,very_high_profit
a17560,very_high_profit
a24467,loss_or_zero
a16367,loss_or_zero
a26797,loss_or_zero
a25322,very_high_profit
a27437,loss_or_zero
a28120,very_high_profit
a28706,loss_or_zero
a04861,loss_or_zero
a16781,very_high_profit
a14520,loss_or_zero
a29558,very_high_profit
a14314,very_high_profit
a27497,loss_or_zero
a12988,loss_or_zero
a01218,loss_or_zero
a21817,loss_or_zero
a19301,loss_or_zero
a05867,loss_or_zero
a22741,very_high_profit
a25319,loss_or_zero
a15135,loss_or_zero
a05969,very_high_profit
a24713,loss_or_zero
a01935,loss_or_zero
a05306,loss_or_zero
a08229,very_high_profit
a05433,loss_or_zero
a17092,very_high_profit
a23746,loss_or_zero
a24992,loss_or_zero
a30329,loss_or_zero
a16964,loss_or_zero
a28923,very_high_profit
a01501,loss_or_zero
a10480,loss_or_zero
a19522,very_high_profit
a06269,loss_or_zero
a12945,very_high_profit
a01267,very_high_profit
a12673,very_high_profit
a11873,very_high_profit
a31054,loss_or_zero
a29135,loss_or_zero
a13430,very_high_profit
a00215,loss_or_zero
a25659,loss_or_zero
a30304,very_high_profit
a14548,loss_or_zero
a30783,loss_or_zero
a08157,loss_or_zero
a17255,very_high_profit
a11994,very_high_profit
a13283,very_high_profit
a12025,very_high_profit
a14799,loss_or_zero
a28047,loss_or_zero
a04379,very_high_profit
a13438,very_high_profit
a22024,loss_or_zero
a23508,very_high_profit
a09708,very_high_profit
a28054,loss_or_zero
a30889,very_high_profit
a15808,loss_or_zero
a14756,loss_or_zero
a21652,loss_or_zero
a24861,very_high_profit
a26383,very_high_profit
a01290,loss_or_zero
a08759,very_high_profit
a14699,loss_or_zero
a16316,very_high_profit
a15814,loss_or_zero
a30500,very_high_profit
a30602,very_high_profit
a23681,very_high_profit
a13477,loss_or_zero
a18596,very_high_profit
a27575,loss_or_zero
a15934,very_high_profit
a00969,loss_or_zero
a11835,loss_or_zero
a10363,very_high_profit
a10123,loss_or_zero
a22458,loss_or_zero
a03622,loss_or_zero
a21300,very_high_profit
a14387,very_high_profit
a09087,loss_or_zero
a22977,very_high_profit
a27264,very_high_profit
a30249,loss_or_zero
a05930,loss_or_zero
a30161,loss_or_zero
a31074,loss_or_zero
a30959,loss_or_zero
a17239,very_high_profit
a01767,loss_or_zero
a15751,loss_or_zero
a04797,very_high_profit
a17542,loss_or_zero
a00810,very_high_profit
a17695,loss_or_zero
a26328,loss_or_zero
a07327,very_high_profit
a30668,loss_or_zero
a02488,loss_or_zero
a22637,very_high_profit
a05002,very_high_profit
a12241,very_high_profit
a11070,loss_or_zero
a27606,loss_or_zero
a04707,loss_or_zero
a17218,very_high_profit
a02722,loss_or_zero
a24429,loss_or_zero
a11232,loss_or_zero
a15147,very_high_profit
a00931,very_high_profit
a12429,very_high_profit
a03162,very_high_profit
a17798,loss_or_zero
a00891,very_high_profit
a29789,loss_or_zero
a02985,very_high_profit
a21258,very_high_profit
a13561,loss_or_zero
a10695,very_high_profit
a30946,very_high_profit
a19873,very_high_profit
a22526,loss_or_zero
a00933,very_high_profit
a27934,very_high_profit
a00581,loss_or_zero
a30471,loss_or_zero
a20589,loss_or_zero
a21147,loss_or_zero
a11857,loss_or_zero
a30796,very_high_profit
a18651,very_high_profit
a21353,loss_or_zero
a13508,very_high_profit
a24193,loss_or_zero
a23959,very_high_profit
a07587,very_high_profit
a23102,loss_or_zero
a27370,loss_or_zero
a26870,loss_or_zero
a02133,loss_or_zero
a09784,very_high_profit
a14914,loss_or_zero
a01434,loss_or_zero
a26286,loss_or_zero
a02289,loss_or_zero
a18448,loss_or_zero
a21645,very_high_profit
a18249,very_high_profit
a22615,very_high_profit
a00911,very_high_profit
a14650,very_high_profit
a13252,loss_or_zero
a08444,loss_or_zero
a06157,very_high_profit
a12525,loss_or_zero
a30686,loss_or_zero
a31403,loss_or_zero
a03859,very_high_profit
a14258,very_high_profit
a07216,very_high_profit
a02871,very_high_profit
a22473,very_high_profit
a11691,loss_or_zero
a11257,loss_or_zero
a29053,very_high_profit
a24545,very_high_profit
a09378,loss_or_zero
a20089,very_high_profit
a04396,very_high_profit
a11483,very_high_profit
a29485,very_high_profit
a25134,very_high_profit
a23614,loss_or_zero
a01240,very_high_profit
a10587,very_high_profit
a21902,loss_or_zero
a04905,very_high_profit
a00179,very_high_profit
a11247,loss_or_zero
a02075,loss_or_zero
a08421,loss_or_zero
a25970,loss_or_zero
a00596,very_high_profit
a30276,very_high_profit
a09950,loss_or_zero
a27093,very_high_profit
a28599,loss_or_zero
a21975,loss_or_zero
a22308,very_high_profit
a27152,loss_or_zero
a02331,very_high_profit
a19387,loss_or_zero
a14569,very_high_profit
a24002,loss_or_zero
a30297,loss_or_zero
a28526,loss_or_zero
a06705,loss_or_zero
a11012,very_high_profit
a15193,very_high_profit
a30455,very_high_profit
a25757,loss_or_zero
a14781,loss_or_zero
a25806,loss_or_zero
a07400,very_high_profit
a30924,loss_or_zero
a19830,very_high_profit
a06087,loss_or_zero
a30720,loss_or_zero
a07698,very_high_profit
a24267,very_high_profit
a26758,very_high_profit
a26814,very_high_profit
a12405,loss_or_zero
a13562,loss_or_zero
a24745,very_high_profit
a16697,very_high_profit
a29361,loss_or_zero
a02587,very_high_profit
a07618,loss_or_zero
a18445,very_high_profit
a02341,loss_or_zero
a24770,very_high_profit
a14249,very_high_profit
a06501,loss_or_zero
a18133,loss_or_zero
a21558,very_high_profit
a19723,very_high_profit
a17523,loss_or_zero
a22273,loss_or_zero
a23464,very_high_profit
a19946,very_high_profit
a22431,very_high_profit
a06728,loss_or_zero
a25708,very_high_profit
a05215,very_high_profit
a05605,very_high_profit
a12209,loss_or_zero
a06848,loss_or_zero
a25937,loss_or_zero
a26528,very_high_profit
a05740,very_high_profit
a03438,very_high_profit
a27351,loss_or_zero
a17275,loss_or_zero
a12972,very_high_profit
a01748,very_high_profit
a29241,very_high_profit
a01737,very_high_profit
a09204,loss_or_zero
a05851,loss_or_zero
a01899,very_high_profit
a27252,very_high_profit
a09542,loss_or_zero
a11578,loss_or_zero
a09220,loss_or_zero
a05461,very_high_profit
a22039,loss_or_zero
a10379,loss_or_zero
a03518,loss_or_zero
a23842,very_high_profit
a12785,very_high_profit
a05790,loss_or_zero
a21373,very_high_profit
a07225,very_high_profit
a04536,very_high_profit
a15414,loss_or_zero
a24374,very_high_profit
a20447,loss_or_zero
a18620,loss_or_zero
a08141,loss_or_zero
a15832,loss_or_zero
a25090,loss_or_zero
a30072,very_high_profit
a15710,loss_or_zero
a30286,very_high_profit
a01919,very_high_profit
a29853,loss_or_zero
a02843,loss_or_zero
a12107,very_high_profit
a05511,very_high_profit
a03443,very_high_profit
a10356,very_high_profit
a00552,very_high_profit
a07762,very_high_profit
a10521,very_high_profit
a06545,very_high_profit
a12513,very_high_profit
a07316,loss_or_zero
a26499,loss_or_zero
a20801,loss_or_zero
a30535,loss_or_zero
a30112,loss_or_zero
a04909,loss_or_zero
a13402,loss_or_zero
a10874,very_high_profit
a15667,very_high_profit
a28410,loss_or_zero
a08378,loss_or_zero
a09855,loss_or_zero
a00571,very_high_profit
a25707,loss_or_zero
a22811,loss_or_zero
a06436,loss_or_zero
a19085,loss_or_zero
a07270,very_high_profit
a01322,loss_or_zero
a22767,very_high_profit
a21803,loss_or_zero
a06743,very_high_profit
a04296,loss_or_zero
a11736,very_high_profit
a05139,very_high_profit
a26485,loss_or_zero
a28153,very_high_profit
a23072,loss_or_zero
a28225,loss_or_zero
a25600,loss_or_zero
a04853,very_high_profit
a13077,loss_or_zero
a15399,loss_or_zero
a27035,loss_or_zero
a18955,very_high_profit
a26062,loss_or_zero
a17350,loss_or_zero
a10905,loss_or_zero
a24036,loss_or_zero
a08410,loss_or_zero
a10752,very_high_profit
a18361,very_high_profit
a07736,loss_or_zero
a03931,very_high_profit
a14998,very_high_profit
a24045,very_high_profit
a04646,loss_or_zero
a22312,very_high_profit
a23626,loss_or_zero
a15410,loss_or_zero
a31421,very_high_profit
a19154,very_high_profit
a21459,very_high_profit
a22102,loss_or_zero
a11359,loss_or_zero
a29082,loss_or_zero
a06702,loss_or_zero
a21555,loss_or_zero
a05195,loss_or_zero
a03166,loss_or_zero
a11355,very_high_profit
a23459,very_high_profit
a13504,very_high_profit
a29516,very_high_profit
a29310,very_high_profit
a21677,very_high_profit
a18641,very_high_profit
a03378,very_high_profit
a10450,loss_or_zero
a29779,very_high_profit
a00528,loss_or_zero
a22901,very_high_profit
a18794,loss_or_zero
a08701,loss_or_zero
a18685,loss_or_zero
a08753,loss_or_zero
a00817,loss_or_zero
a29807,very_high_profit
a02562,very_high_profit
a00859,loss_or_zero
a25758,loss_or_zero
a07553,very_high_profit
a29109,very_high_profit
a12768,very_high_profit
a27310,very_high_profit
a13063,loss_or_zero
a10429,very_high_profit
a27474,very_high_profit
a12653,very_high_profit
a14504,loss_or_zero
a07602,very_high_profit
a10335,loss_or_zero
a10864,loss_or_zero
a08791,loss_or_zero
a18692,very_high_profit
a06738,very_high_profit
a13437,very_high_profit
a19905,loss_or_zero
a22389,loss_or_zero
a03543,very_high_profit
a16172,very_high_profit
a24498,loss_or_zero
a23916,loss_or_zero
a28272,loss_or_zero
a08773,loss_or_zero
a11301,very_high_profit
a14895,loss_or_zero
a05702,very_high_profit
a03835,very_high_profit
a01776,loss_or_zero
a30441,very_high_profit
a14459,loss_or_zero
a06103,loss_or_zero
