account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a21780,0.0,0.0,0,2453970899652.0,2453970899652.0,1,0.0,0.0,0,2453970899652.0,2453970899652.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,912410000000.0,912410000000.0,5
a17666,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,787253000000.0,787253000000.0,5
a10848,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,115800618600000.0,115800618600000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,33091455800000.0,33091455800000.0,5
a05419,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,894313000000.0,894313000000.0,5
a13872,0.0,0.0,0,985510000000.0,985510000000.0,1,990340000000.0,990340000000.0,1,1975850000000.0,1975850000000.0,2,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,999664000000.0,999664000000.0,1
