Category,Count,Percentage (%)
12,67813,6.75
18,59958,5.97
17,58811,5.85
20,56350,5.61
19,55597,5.53
16,52976,5.27
15,52824,5.26
21,50793,5.05
14,49301,4.91
22,49103,4.89
13,45587,4.54
11,43666,4.34
10,43027,4.28
23,42279,4.21
0,40468,4.03
8,37249,3.71
9,36524,3.63
1,29761,2.96
7,26267,2.61
2,25214,2.51
