Category,Count,Percentage (%)
162,5403,0.54
1494,5370,0.53
645,5025,0.5
182,4896,0.49
646,4426,0.44
2156,4144,0.41
636,3953,0.39
111,3855,0.38
119,3677,0.37
152,3278,0.33
1822,3223,0.32
2029,3105,0.31
1764,3099,0.31
153,3030,0.3
1239,2967,0.3
765,2929,0.29
647,2917,0.29
666,2895,0.29
1555,2836,0.28
1842,2747,0.27
