DayName,Felony,Misdemeanor
Friday,9.313217730308033,5.978063485145638
Monday,8.307537082421632,5.776469640026627
Saturday,9.004160236260821,5.668508474205241
Sunday,8.265049139743539,5.630398680187186
Thursday,8.459379238222034,5.651194886322365
Tuesday,8.167436325300425,5.578059903024007
Wednesday,8.44843386657194,5.752091312260508
