CrimeCategory,April,August,February,January,July,June,March,May,October,September
Felony,5.818560558253429,5.901364375721732,5.963998032524679,6.460231166554807,5.950433304591837,5.7627682424948725,6.109199598484053,5.853946805034755,6.033826892839829,5.699072998288486
Misdemeanor,4.032734637355846,3.989091599658877,4.227358994653138,4.474237043030856,3.9532335362537996,3.836576876031362,4.24929846765756,3.937781541825954,3.889302383735537,3.8569829450085926
