AREA NAME,Felony,Misdemeanor
77th Street,6.476475492498297,4.7657015119907085
Central,7.846842222149409,4.835603321792253
Hollywood,5.730856187948491,3.813107317481642
N Hollywood,5.568662144893345,3.734649817417929
Newton,5.515325607727062,3.436656945946241
Olympic,5.455071703965835,3.659651000651689
Pacific,7.1924229350750535,3.641265368386178
Southeast,5.122856071445474,3.967291778163694
Southwest,6.062525712579777,4.39380203953093
Wilshire,5.589778316604228,3.191454503751761
