Category,Count,Percentage (%)
Central,69670,6.93
77th Street,61758,6.15
Pacific,59514,5.92
Southwest,57441,5.72
Hollywood,52429,5.22
N Hollywood,51107,5.09
Olympic,50071,4.98
Southeast,49936,4.97
Newton,49177,4.89
Wilshire,48239,4.8
Rampart,46825,4.66
West LA,45729,4.55
Northeast,42963,4.27
Van Nuys,42883,4.27
West Valley,42156,4.19
Devonshire,41756,4.15
Harbor,41394,4.12
Topanga,41374,4.12
Mission,40351,4.02
Hollenbeck,37085,3.69
