Category,Count,Percentage (%)
2022-05,20467,2.04
2022-10,20335,2.02
2022-06,20273,2.02
2022-08,20144,2.0
2023-10,20122,2.0
2023-08,20082,2.0
2022-12,20036,1.99
2022-07,20009,1.99
2023-01,19970,1.99
2023-07,19935,1.98
2022-04,19837,1.97
2022-03,19745,1.96
2023-12,19552,1.95
2021-10,19343,1.92
2022-09,19341,1.92
2023-09,19321,1.92
2023-03,19214,1.91
2023-11,19074,1.9
2023-04,18937,1.88
2024-01,18926,1.88
