Category,Count,Percentage (%)
5,23313,2.32
9,22455,2.23
7,20933,2.08
3,20712,2.06
6,20591,2.05
4,20456,2.04
18,20425,2.03
8,20347,2.02
44,20275,2.02
35,20273,2.02
2,20196,2.01
13,20157,2.01
26,20131,2.0
31,20066,2.0
48,20060,2.0
1,20015,1.99
17,20011,1.99
22,20006,1.99
10,19857,1.98
11,19694,1.96
