filename,threshold,inverse,TP,TN,FP,FN,pred_bad,pred_good,bad_precision,bad_recall,good_precision,good_recall,bad_f1_given,bad_f1_calculated,accuracy,f1_diff
vote_0_0_REAL_F1_0.5451505016722408.csv,0,0,652,5818,1013,75,1665,5893,0.39159159159159157,0.8968363136176066,0.9872730358051927,0.8517054604011126,0.5451505016722408,0.5451505016722408,0.8560465731675047,0.0
vote_0_1_REAL_F1_0.022658610271903322.csv,0,1,75,1013,5818,652,5893,1665,0.012726964194807398,0.1031636863823934,0.6084084084084084,0.14829453959888741,0.0226586102719033,0.022658610271903322,0.14395342683249537,2.0816681711721685e-17
vote_1_0_REAL_F1_0.5775978407557355.csv,1,0,642,5977,854,85,1496,6062,0.42914438502673796,0.8830811554332875,0.985978225008248,0.8749817010686576,0.5775978407557355,0.5775978407557355,0.8757607832759989,0.0
vote_1_1_REAL_F1_0.02504050670201797.csv,1,1,85,854,5977,642,6062,1496,0.014021774991751897,0.11691884456671252,0.570855614973262,0.12501829893134242,0.0250405067020179,0.02504050670201797,0.12423921672400105,6.938893903907228e-17
vote_2_0_REAL_F1_0.5970009372071228.csv,2,0,637,6061,770,90,1407,6151,0.4527363184079602,0.8762035763411279,0.9853682328076735,0.8872785829307569,0.5970009372071228,0.5970009372071228,0.8862132839375496,0.0
vote_2_1_REAL_F1_0.026170398371619656.csv,2,1,90,770,6061,637,6151,1407,0.01463176719232645,0.12379642365887207,0.5472636815920398,0.11272141706924316,0.0261703983716196,0.026170398371619656,0.11378671606245039,5.551115123125783e-17
vote_3_0_REAL_F1_0.6103012633624879.csv,3,0,628,6128,703,99,1331,6227,0.4718256949661908,0.8638239339752407,0.9841014934960656,0.8970868101302883,0.6103012633624879,0.6103012633624879,0.8938872717650173,0.0
vote_3_1_REAL_F1_0.028472821397756684.csv,3,1,99,703,6128,628,6227,1331,0.015898506503934477,0.1361760660247593,0.5281743050338091,0.10291318986971161,0.0284728213977566,0.028472821397756684,0.1061127282349828,8.326672684688674e-17
vote_4_0_REAL_F1_0.624687656171914.csv,4,0,625,6182,649,102,1274,6284,0.49058084772370486,0.859697386519945,0.9837683004455761,0.9049919484702094,0.624687656171914,0.624687656171914,0.9006350886477904,0.0
vote_4_1_REAL_F1_0.02909713307659392.csv,4,1,102,649,6182,625,6284,1274,0.016231699554423933,0.14030261348005502,0.5094191522762951,0.09500805152979067,0.0290971330765939,0.02909713307659392,0.09936491135220958,2.0816681711721685e-17
vote_5_0_REAL_F1_0.6331967213114754.csv,5,0,618,6224,607,109,1225,6333,0.5044897959183674,0.8500687757909215,0.9827885678193589,0.911140389401259,0.6331967213114754,0.6331967213114754,0.9052659433712622,0.0
