account,normal_fprofit,normal_fpprofit,normal_fsize,abnormal_fprofit,abnormal_fpprofit,abnormal_fsize,bad_fprofit,bad_fpprofit,bad_fsize,A_fprofit,A_fpprofit,A_fsize,B_fprofit,B_fpprofit,B_fsize,normal_bprofit,normal_bpprofit,normal_bsize,abnormal_bprofit,abnormal_bpprofit,abnormal_bsize,bad_bprofit,bad_bpprofit,bad_bsize,A_bprofit,A_bpprofit,A_bsize,B_bprofit,B_bpprofit,B_bsize
a12092,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,2101000000000.0,2101000000000.0,2,0.0,0.0,0,0.0,0.0,0,2101000000000.0,2101000000000.0,2,76160000000.0,76160000000.0,2
a13779,92740000000.0,92740000000.0,1,0.0,0.0,0,0.0,0.0,0,92740000000.0,92740000000.0,1,794100996057.9056,794100996057.9056,4,118740000000.0,118740000000.0,1,0.0,0.0,0,0.0,0.0,0,118740000000.0,118740000000.0,1,431480000000.0,431480000000.0,2
a16262,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,51186314200000.0,51186314200000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,28442397056093.312,28442397056093.312,5
a31125,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,157109515000000.0,157109515000000.0,5,747828998200000.0,747828998200000.0,4,0.0,0.0,0,0.0,0.0,0,1597803378200000.0,1597803378200000.0,5,188634190000000.0,188634190000000.0,8
a18317,498457760000.0,498457760000.0,1,0.0,0.0,0,0.0,0.0,0,498457760000.0,498457760000.0,1,27966000000.0,27966000000.0,1,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0
a23355,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,30135342500000.0,30135342500000.0,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,6092528500000.0,6092528500000.0,2
a10900,0.0,0.0,0,0.0,0.0,0,9890000000.0,9890000000.0,1,9890000000.0,9890000000.0,1,144560000000.0,144560000000.0,5,47673935500000.0,47673935500000.0,1,0.0,0.0,0,0.0,0.0,0,79795482766897.19,79795482766897.19,5,6444185200000.0,6444185200000.0,9
a25375,0.0,0.0,0,51220000000.0,51220000000.0,1,0.0,0.0,0,51220000000.0,51220000000.0,1,200825790000.0,200825790000.0,5,0.0,0.0,0,1508975491113.221,1508975491113.221,3,0.0,0.0,0,1508975491113.221,1508975491113.221,3,2075277412023.348,2075277412023.348,6
a19825,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,35974401000000.0,35974401000000.0,5,2828176300000.0,2828176300000.0,4,577190900000.0,577190900000.0,1,0.0,0.0,0,3405367200000.0,3405367200000.0,5,55853534999946.24,55853534999946.24,9
a18901,0.0,0.0,0,77706860000.0,77706860000.0,1,0.0,0.0,0,77706860000.0,77706860000.0,1,55996394387.63199,55996394387.63199,2,0.0,0.0,0,55996394387.63199,55996394387.63199,1,0.0,0.0,0,55996394387.63199,55996394387.63199,1,77706860000.0,77706860000.0,1
a24485,1196220000000.0,1196220000000.0,1,0.0,0.0,0,0.0,0.0,0,1196220000000.0,1196220000000.0,1,1240130000000.0,1240130000000.0,2,319452900000.0,319452900000.0,2,1487999400000.0,1487999400000.0,1,0.0,0.0,0,7510492300000.0,7510492300000.0,4,1253910000000.0,1253910000000.0,5
a03821,1147290400000.0,1147290400000.0,2,0.0,0.0,0,0.0,0.0,0,2580762400000.0,2580762400000.0,5,5378733725267.255,5378733725267.255,5,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,1079127744649.6208,1079127744649.6208,1
a00842,44601827000000.0,44601827000000.0,3,15726401800000.0,15726401800000.0,1,0.0,0.0,0,74602720780000.0,74602720780000.0,5,99897324000000.0,99897324000000.0,9,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,1,20652284100000.0,20652284100000.0,4
a09359,38740000000.0,38740000000.0,1,0.0,0.0,0,0.0,0.0,0,38740000000.0,38740000000.0,1,9602555700000.0,9602555700000.0,4,45123965340000.0,45123965340000.0,4,0.0,0.0,0,0.0,0.0,0,3045072725340000.0,3045072725340000.0,6,47839399000000.0,47839399000000.0,6
a16004,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,9965000000000.0,9965000000000.0,5,197723134630000.0,197723134630000.0,3,0.0,0.0,0,0.0,0.0,0,218188700310000.0,218188700310000.0,5,52270500000000.0,52270500000000.0,5
a24879,0.0,0.0,0,11715694300000.0,11715694300000.0,2,0.0,0.0,0,11715694300000.0,11715694300000.0,2,92280374999999.77,92280374999999.77,6,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,2430798228347.222,2430798228347.222,5
a08253,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,4913345170000.0,4913345170000.0,5,1026391804000.0,1026391804000.0,1,0.0,0.0,0,0.0,0.0,0,5298782211308.946,5298782211308.946,5,24862705000000.0,24862705000000.0,5
a05544,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,20940570000000.0,20940570000000.0,5,893235581514.7272,893235581514.7272,1,0.0,0.0,0,0.0,0.0,0,4936060059303.941,4936060059303.941,5,7170571526517.08,7170571526517.08,9
a22624,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,5,197723134630000.0,197723134630000.0,3,0.0,0.0,0,0.0,0.0,0,218188700310000.0,218188700310000.0,5,86466197300000.0,86466197300000.0,6
